KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
A00;Kolera;Cholera
A00.0;Kolera, ki jo povzroča Vibrio cholerae 01, biovar cholerae;Cholera due to Vibrio cholerae 01, biovar cholerae
A00.1;Kolera, ki jo povzroča Vibrio cholerae 01, biovar eltor;Cholera due to Vibrio cholerae 01, biovar eltor
A00.9;Kolera, neopredeljena;Cholera, unspecified
A01;Tifus in paratifus;Typhoid and paratyphoid fevers
A01.0;Tifus;Typhoid fever
A01.1;Paratifus A;Paratyphoid fever A
A01.2;Paratifus B;Paratyphoid fever B
A01.3;Paratifus C;Paratyphoid fever C
A01.4;Paratifus, neopredeljen;Paratyphoid fever, unspecified
A02;Druge infekcije zaradi salmonel;Other salmonella infections
A02.0;Salmonelni enteritis;Salmonella enteritis
A02.1;Salmonelna sepsa;Salmonella sepsis
A02.2;Lokalizirane salmonelne infekcije;Localised salmonella infections
A02.8;Druge opredeljene salmonelne infekcije;Other specified salmonella infections
A02.9;Salmonelna infekcija, neopredeljena;Salmonella infection, unspecified
A03;Šigeloza (griža);Shigellosis
A03.0;Griža, ki jo povzroča Shigella dysenteriae;Shigellosis due to Shigella dysenteriae
A03.1;Griža, ki jo povzroča Shigella flexneri;Shigellosis due to Shigella flexneri
A03.2;Griža, ki jo povzroča Shigella boydii;Shigellosis due to Shigella boydii
A03.3;Griža, ki jo povzroča Shigella sonnei;Shigellosis due to Shigella sonnei
A03.8;Druge griže;Other shigellosis
A03.9;Griža, neopredeljena;Shigellosis, unspecified
A04;Druge bakterijske črevesne infekcije ;Other bacterial intestinal infections
A04.0;Infekcija, ki jo povzroča enteropatogena Escherichia coli;Enteropathogenic Escherichia coli infection
A04.1;Infekcija, ki jo povzroča enterotoksigena Escherichia coli;Enterotoxigenic Escherichia coli infection
A04.2;Infekcija, ki jo povzroča enteroinvazivna Escherichia coli;Enteroinvasive Escherichia coli infection
A04.3;Infekcija, ki jo povzroča enterohemoragična Escherichia coli;Enterohaemorrhagic Escherichia coli infection
A04.4;Druge črevesne infekcije, ki jih povzroča Escherichia coli;Other intestinal Escherichia coli infections
A04.5;Enteritis, ki ga povzroča kampilobakter;Campylobacter enteritis
A04.6;Enteritis, ki ga povzroča Yersinia enterocolitica;Enteritis due to Yersinia enterocolitica
A04.7;Enterokolitis, ki ga povzroča Clostridium difficile;Enterocolitis due to Clostridium difficile
A04.8;Druge opredeljene črevesne infekcije, ki jih povzročajo bakterije;Other specified bacterial intestinal infections
A04.9;Črevesna bakterijska infekcija, neopredeljena;Bacterial intestinal infection, unspecified
A05;Druge zastrupitve z bakterijami, ki se prenašajo s hrano, ki niso uvrščene drugje;Other bacterial food-borne intoxications, not elsewhere classified
A05.0;Stafilokokna zastrupitev s hrano;Food-borne staphylococcal intoxication
A05.1;Botulizem;Botulism
A05.2;Zastrupitev s hrano, ki jo povzroča Clostridium perfringens [Clostridium welchii];Food-borne Clostridium perfringens [Clostridium welchii] intoxication
A05.3;Zastrupitev s hrano, ki jo povzroča Vibrio parahaemolyticus;Food-borne Vibrio parahaemolyticus intoxication
A05.4;Zastrupitev s hrano, ki jo povzroča Bacillus cereus;Food-borne Bacillus cereus intoxication
A05.8;Druge opredeljene bakterijske zastrupitve s hrano;Other specified bacterial food-borne intoxications
A05.9;Bakterijska zastrupitev s hrano, neopredeljena;Bacterial food-borne intoxication, unspecified
A06;Ameboza;Amoebiasis
A06.0;Akutna amebna dizenterija;Acute amoebic dysentery
A06.1;Kronična črevesna ameboza;Chronic intestinal amoebiasis
A06.2;Amebni nedizenterični kolitis;Amoebic nondysenteric colitis
A06.3;Amebom črevesja;Amoeboma of intestine
A06.4;Jetrni amebni absces;Amoebic liver abscess
A06.5;Pljučni amebni absces;Amoebic lung abscess
A06.6;Možganski amebni absces;Amoebic brain abscess
A06.7;Kožna ameboza;Cutaneous amoebiasis
A06.8;Amebna infekcija na drugih mestih;Amoebic infection of other sites
A06.9;Ameboza, neopredeljena;Amoebiasis, unspecified
A07;Druge protozojske črevesne bolezni;Other protozoal intestinal diseases
A07.0;Balantidioza;Balantidiasis
A07.1;Lamblioza [Giardioza];Giardiasis [lambliasis]
A07.2;Kriptosporidioza;Cryptosporidiosis
A07.3;Izosporioza;Isosporiasis
A07.8;Druge opredeljene protozojske črevesne bolezni;Other specified protozoal intestinal diseases
A07.9;Protozojska črevesna bolezen, neopredeljena;Protozoal intestinal disease, unspecified
A08;Virusne in druge opredeljene črevesne infekcije;Viral and other specified intestinal infections
A08.0;Rotavirusni enteritis;Rotaviral enteritis
A08.1;Akutna gastroenteropatija, ki jo povzroča Norwalk virus;Acute gastroenteropathy due to Norwalk agent
A08.2;Adenovirusni enteritis;Adenoviral enteritis
A08.3;Drugi virusni enteritis;Other viral enteritis
A08.4;Črevesna virusna infekcija, neopredeljena;Viral intestinal infection, unspecified
A08.5;Druge opredeljene črevesne infekcije;Other specified intestinal infections
A09;Drugi gastroenteritis ali kolitis infekcijske etiologije ali neopredeljenega vzroka;Other gastroenteritis and colitis of infectious and unspecified origin
A09.0;Drugi gastroenteritis ali kolitis infekcijske etiologije;Other gastroenteritis and colitis of infectious origin
A09.9;Gastroenteritis ali kolitis, vzrok neopredeljen;Gastroenteritis and colitis of unspecified origin
A15;Tuberkuloza dihal, potrjena bakteriološko in/ali histološko;Respiratory tuberculosis, bacteriologically and histologically confirmed
A15.0;Tuberkuloza pljuč, potrjena z mikroskopskim pregledom sputuma ali tudi v kulturi;Tuberculosis of lung, confirmed by sputum microscopy with or without culture
A15.1;Tuberkuloza pljuč, potrjena le v kulturi;Tuberculosis of lung, confirmed by culture only
A15.2;Tuberkuloza pljuč, potrjena le histološko;Tuberculosis of lung, confirmed histologically
A15.3;Tuberkuloza pljuč, potrjena, način potrditve ni opredeljen;Tuberculosis of lung, confirmed by unspecified means
A15.4;Tuberkuloza intratorakalnih bezgavk, potrjena bakteriološko in/ali histološko;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A15.5;Tuberkuloza larinksa, traheje in bronhijev, potrjena bakteriološko in/ali histološko;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A15.6;Tuberkulozni plevritis, potrjen bakteriološko in/ali histološko;Tuberculous pleurisy, confirmed bacteriologically and histologically
A15.7;Primarna tuberkuloza dihal, potrjena bakteriološko in/ali histološko;Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A15.8;Druge vrste tuberkuloza dihal, potrjena bakteriološko in/ali histološko;Other respiratory tuberculosis, confirmed bacteriologically and histologically
A15.9;Tuberkuloza dihal, neopredeljena, potrjena bakteriološko in/ali histološko;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
A16;Tuberkuloza dihal, ki bakteriološko ali histološko ni potrjena;Respiratory tuberculosis, not confirmed bacteriologically or histologically
A16.0;Tuberkuloza pljuč, bakteriološko in histološko negativna;Tuberculosis of lung, bacteriologically and histologically negative
A16.1;Tuberkuloza pljuč, bakteriološka ali histološka preiskava ni bila opravljena;Tuberculosis of lung, bacteriological and histological examination not done
A16.2;Tuberkuloza pljuč, bakteriološka ali histološka potrditev ni omenjena;Tuberculosis of lung, without mention of bacteriological or histological confirmation
A16.3;Tuberkuloza intratorakalnih bezgavk, bakteriološka ali histološka potrditev ni omenjena;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation
A16.4;Tuberkuloza larinksa, traheje in bronhijev, bakteriološka ali histološka potrditev ni omenjena;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
A16.5;Tuberkulozni plevritis, bakteriološka ali histološka potrditev ni omenjena;Tuberculous pleurisy, without mention of bacteriological or histological confirmation
A16.7;Primarna tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A16.8;Druge vrste tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
A16.9;Tuberkuloza dihal, neopredeljena, bakteriološka ali histološka potrditev ni omenjena;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
A17;Tuberkuloza živčevja;Tuberculosis of nervous system
A17.0;Tuberkulozni meningitis;Tuberculous meningitis
A17.1;Tuberkulom mening;Meningeal tuberculoma
A17.8;Druge vrste tuberkuloza živčevja;Other tuberculosis of nervous system
A17.9;Tuberkuloza živčevja, neopredeljena;Tuberculosis of nervous system, unspecified
A18;Tuberkuloza drugih organov;Tuberculosis of other organs
A18.0;Tuberkuloza kosti in sklepov;Tuberculosis of bones and joints
A18.1;Tuberkuloza genitourinarnega sistema;Tuberculosis of genitourinary system
A18.2;Tuberkulozna periferna limfadenopatija;Tuberculous peripheral lymphadenopathy
A18.3;Tuberkuloza črevesa, peritoneja in mezenterijskih bezgavk;Tuberculosis of intestines, peritoneum and mesenteric glands
A18.4;Tuberkuloza kože in podkožnega tkiva;Tuberculosis of skin and subcutaneous tissue
A18.5;Očesna tuberkuloza;Tuberculosis of eye
A18.6;Tuberkuloza ušes;Tuberculosis of ear
A18.7;Tuberkuloza suprarenalnih žlez;Tuberculosis of adrenal glands
A18.8;Tuberkuloza drugih opredeljenih organov;Tuberculosis of other specified organs
A19;Miliarna tuberkuloza;Miliary tuberculosis
A19.0;Akutna miliarna tuberkuloza posameznega opredeljenega organa;Acute miliary tuberculosis of a single specified site
A19.1;Akutna miliarna tuberkuloza več organov;Acute miliary tuberculosis of multiple sites
A19.2;Akutna miliarna tuberkuloza, neopredeljena;Acute miliary tuberculosis, unspecified
A19.8;Druge vrste miliarna tuberkuloza;Other miliary tuberculosis
A19.9;Miliarna tuberkuloza, neopredeljena;Miliary tuberculosis, unspecified
A20;Kuga;Plague
A20.0;Bubonska kuga;Bubonic plague
A20.1;Celulokutana kuga;Cellulocutaneous plague
A20.2;Pljučna kuga;Pneumonic plague
A20.3;Meningitis, ki ga povzroča kuga;Plague meningitis
A20.7;Septična kuga;Septicaemic plague
A20.8;Druge oblike kuge;Other forms of plague
A20.9;Kuga, neopredeljena;Plague, unspecified
A21;Tularemija;Tularaemia
A21.0;Ulceroglandularna tularemija;Ulceroglandular tularaemia
A21.1;Okuloglandularna tularemija;Oculoglandular tularaemia
A21.2;Pljučna tularemija;Pulmonary tularaemia
A21.3;Gastrointestinalna tularemija;Gastrointestinal tularaemia
A21.7;Generalizirana tularemija;Generalised tularaemia
A21.8;Druge oblike tularemije;Other forms of tularaemia
A21.9;Tularemija, neopredeljena;Tularaemia, unspecified
A22;Antraks;Anthrax
A22.0;Kožni antraks;Cutaneous anthrax
A22.1;Pljučni antraks;Pulmonary anthrax
A22.2;Gastrointestinalni antraks;Gastrointestinal anthrax
A22.7;Antraksna sepsa;Anthrax sepsis
A22.8;Druge oblike antraksa;Other forms of anthrax
